Time,PPG
41.866,44
41.905,57
41.936,72
41.971,80
42.007,73
42.049,60
42.076,45
42.113,36
42.152,20
42.183,37
42.219,41
42.256,43
42.289,45
42.325,44
42.359,43
42.394,43
42.427,43
42.462,44
42.499,44
42.536,42
42.566,41
42.605,40
42.644,39
42.672,44
42.711,56
42.745,68
42.794,70
42.815,63
42.847,54
42.887,47
42.923,44
42.979,42
42.991,43
43.035,44
43.063,42
43.096,40
43.127,38
43.176,20
43.197,20
43.241,38
43.266,42
43.307,44
43.342,45
43.372,44
43.408,45
43.443,45
43.492,48
43.512,56
43.546,70
43.595,83
43.623,83
43.657,72
43.695,58
43.724,43
43.761,20
43.797,20
43.828,20
43.861,41
43.899,46
43.936,47
43.973,45
44.004,42
44.038,40
44.074,39
44.109,40
44.144,40
44.179,40
44.212,40
44.252,41
44.284,45
44.316,55
44.351,67
44.389,73
44.422,67
44.457,51
44.492,36
44.526,20
44.561,20
44.597,20
44.631,37
44.672,42
44.716,44
44.737,44
44.773,42
44.818,40
44.843,39
44.878,39
44.921,40
44.948,39
44.983,40
45.025,42
45.054,52
45.090,63
45.124,70
45.157,67
45.191,58
45.232,47
45.261,39
45.299,37
45.333,39
45.372,43
45.407,46
45.444,46
45.472,46
45.510,44
45.554,42
45.591,41
45.616,41
45.652,42
45.686,43
45.720,49
45.751,60
45.790,72
45.823,79
45.860,73
45.891,59
45.926,47
45.961,40
45.996,35
46.031,38
46.067,44
46.102,45
46.143,41
46.196,40
46.213,38
46.251,38
46.288,40
46.319,42
46.438,43
46.444,45
46.449,53
46.454,66
46.489,77
46.523,79
46.556,70
46.593,60
46.626,50
46.664,43
46.696,39
46.731,40
46.768,42
46.809,45
46.840,45
46.872,44
46.922,43
46.942,41
46.987,40
47.025,38
47.053,37
47.087,42
47.119,55
47.154,68
47.189,72
47.222,65
47.260,53
47.292,43
47.339,37
47.361,20
47.399,36
47.449,39
47.467,43
47.503,45
47.540,43
47.600,41
47.626,39
47.660,38
47.702,38
47.730,41
47.768,51
47.804,64
47.837,72
47.872,72
47.907,65
47.940,55
47.975,44
48.014,38
48.048,37
48.082,38
48.115,41
48.154,43
48.203,44
48.221,43
48.255,42
48.296,39
48.326,20
48.361,20
48.401,20
48.435,45
48.469,62
48.505,72
48.536,72
48.575,63
48.606,52
48.642,42
48.679,35
48.712,35
48.745,38
48.785,41
48.817,44
48.853,45
48.887,44
48.922,43
48.957,42
48.992,41
49.026,44
49.084,55
49.117,72
49.130,83
49.167,81
49.214,69
49.239,56
49.272,45
49.305,38
49.345,20
49.379,20
49.437,38
49.445,46
49.484,49
49.517,49
49.554,45
49.585,41
49.633,37
49.655,36
49.692,37
49.730,44
49.763,61
49.800,81
49.853,84
49.869,84
49.903,72
49.937,55
49.980,41
50.018,20
50.042,20
50.075,37
50.115,43
50.145,48
50.182,46
50.216,41
50.250,36
50.285,20
50.321,20
50.359,35
50.391,38
50.435,45
50.465,56
50.502,68
50.533,72
50.569,65
50.601,53
50.637,42
50.672,35
50.711,20
50.740,38
50.782,42
50.816,44
50.849,43
50.882,40
50.915,37
50.961,35
50.986,40
51.023,50
51.068,60
51.090,69
51.132,83
51.173,84
51.202,84
51.235,84
51.266,69
51.300,45
51.336,20
51.370,20
51.432,20
51.443,20
51.475,37
51.510,41
51.545,40
51.580,38
51.624,38
51.655,38
51.686,40
51.733,38
51.761,20
51.798,20
51.831,44
51.865,58
51.899,62
51.932,60
51.976,53
52.006,47
52.037,43
52.070,40
52.107,40
52.140,41
52.176,43
52.210,44
52.248,45
52.280,45
52.315,44
52.350,44
52.400,44
52.420,44
52.455,43
52.493,42
52.533,46
52.560,57
52.609,69
52.649,78
52.683,73
52.706,62
52.747,52
52.781,43
52.815,38
52.847,37
52.880,40
52.913,42
52.946,42
52.992,41
53.018,39
53.057,38
53.089,40
53.122,40
53.160,40
53.192,38
53.239,38
53.265,38
53.305,39
53.333,47
53.368,58
53.401,67
53.438,70
53.470,66
53.505,58
53.540,50
53.577,42
53.615,36
53.646,20
53.680,37
53.729,40
53.752,41
53.785,39
53.828,39
53.855,38
53.897,38
53.929,40
53.966,40
53.999,38
54.034,37
54.068,37
54.101,38
54.135,45
54.170,57
54.208,66
54.240,68
54.282,61
54.312,52
54.346,43
54.385,38
54.419,37
54.453,38
54.486,41
54.521,44
54.558,44
54.594,44
54.629,44
54.666,42
54.698,41
54.731,40
54.778,41
54.807,41
54.835,40
54.874,41
54.910,42
54.942,45
54.981,53
55.013,64
55.045,72
55.080,72
55.116,66
55.158,55
55.185,45
55.220,40
55.257,40
55.290,43
55.334,46
55.365,48
55.399,48
55.432,46
55.477,44
55.501,40
55.538,37
55.573,37
